znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Land Rover,Discovery Sport,1099000,2023,Ojeté,20737,Nafta,150,Automatická
Volvo,,1079000,2026,Nové,0,Elektro,175,Automatická
Hyundai,Tucson,270000,2016,Ojeté,166073,Nafta,85,Manuální
Peugeot,5008,330000,2018,Ojeté,152752,Nafta,88,Manuální
Hyundai,Tucson,460000,2022,Ojeté,45776,Nafta,85,Manuální
Škoda,Kodiaq,798000,2022,Ojeté,81786,Nafta,110,Automatická
Škoda,Octavia,339900,2021,Ojeté,202976,Nafta,85,Manuální
Volkswagen,Multivan,1249000,2024,Ojeté,32048,Hybridní,160,Automatická
Volkswagen,Touran,50000,2008,Ojeté,217862,Nafta,77,Automatická
Hyundai,Kona,320000,2018,Ojeté,98156,Benzín,88,Manuální
Škoda,Karoq,570000,2022,Ojeté,74680,Benzín,110,Automatická
Mercedes-Benz,ML,420000,2013,Ojeté,167500,Nafta,150,Automatická
Peugeot,5008,320000,2018,Ojeté,214111,Nafta,110,Manuální
Land Rover,Discovery,700000,2018,Ojeté,42629,Nafta,190,Automatická
Hyundai,i30,223000,2017,Ojeté,62832,Benzín,88,Manuální
Fiat,Tipo,250000,2016,Ojeté,217725,Nafta,88,Manuální
MG,HS,675000,2025,,1530,Hybridní,190,Automatická
Volkswagen,Golf Plus,180000,2013,Ojeté,112459,Benzín,77,Automatická
Renault,Captur,245000,2018,Ojeté,41118,Benzín,66,Manuální
Škoda,Octavia,50000,2009,Ojeté,313432,Benzín,118,Manuální
Hyundai,i30,720000,2023,Ojeté,13500,Benzín,206,Manuální
Volkswagen,Passat CC,150000,2009,Ojeté,226557,Nafta,103,Manuální
Volvo,XC90,500000,2015,Ojeté,180731,Nafta,165,Automatická
Volvo,XC60,1249000,2024,Ojeté,20059,Hybridní,228,Automatická
Land Rover,Defender,1599000,2022,Ojeté,35016,Nafta,183,Automatická
Škoda,Octavia,515000,2022,Ojeté,51626,Benzín,110,Automatická
Volkswagen,Golf,50000,2005,Ojeté,270269,Benzín,85,Manuální
BMW,Řada 1,70000,2005,Ojeté,209692,Benzín,110,Manuální
Opel,Astra,80000,2009,Ojeté,171075,Nafta,81,Manuální
Mazda,6,420000,2019,Ojeté,116000,Benzín,121,Automatická
Mercedes-Benz,SLK,400000,2012,Ojeté,129273,Benzín,135,Automatická
Škoda,Superb,170000,2014,Ojeté,337885,Nafta,103,Automatická
BMW,Řada 1,29000,2006,Ojeté,299000,Benzín,85,Manuální
Ford,Tourneo Custom,1180000,2024,Ojeté,18397,Nafta,125,Automatická
Volvo,V90,410000,2018,Ojeté,174702,Benzín,140,Automatická
Škoda,120,90000,1986,Ojeté,62479,Benzín,36,Manuální
Škoda,Superb,170000,2012,Ojeté,273950,Nafta,125,Manuální
Škoda,Rapid,100000,2013,Ojeté,249850,Benzín,63,Manuální
Škoda,Octavia,16000,2008,Ojeté,294000,Nafta,103,Automatická
Volkswagen,Golf Sportsvan,279000,2014,Ojeté,51994,Benzín,81,Manuální
Volkswagen,Passat,715000,2021,Ojeté,73557,Benzín,206,Automatická
Volkswagen,Tiguan,679000,2021,Ojeté,147875,Nafta,110,Automatická
Mercedes-Benz,GLA,749000,2023,Ojeté,32856,Benzín,100,Automatická
Škoda,Superb,639000,2020,Ojeté,124569,Nafta,140,Automatická
Škoda,Superb,525000,2021,Ojeté,252334,Nafta,110,Manuální
Škoda,Karoq,649000,2021,Ojeté,118887,Nafta,110,Automatická
Volvo,S90,1025000,2024,Ojeté,25129,Hybridní,335,Automatická
Škoda,Rapid,209000,2014,Ojeté,98308,Benzín,63,Manuální
Škoda,Superb,719000,2020,Ojeté,114365,Nafta,110,Automatická
Mercedes-Benz,GLK,210000,2009,Ojeté,210000,Nafta,175,Automatická
Audi,S6 Avant,1175000,2019,Ojeté,70436,Nafta,257,Automatická
Volkswagen,Caddy,199000,2009,Ojeté,236903,Nafta,77,Automatická
Mercedes-Benz,Třídy V,2069100,2023,Ojeté,55100,Nafta,174,Automatická
Audi,S7,1399000,2019,Ojeté,114728,Nafta,257,Automatická
Audi,S6,1175000,2019,Ojeté,70436,Nafta,257,Automatická
Mercedes-Benz,GLE,1999000,2023,Ojeté,37953,Nafta,243,Automatická
Škoda,Superb,425000,2016,Ojeté,192517,Nafta,140,Automatická
Škoda,Superb,555000,2017,Ojeté,148639,Nafta,140,Automatická
BMW,X6,1549000,2021,Ojeté,117818,Nafta,210,Automatická
Audi,S7,1489000,2021,Ojeté,95302,Nafta,253,Automatická
Škoda,Superb,719000,2019,Ojeté,95356,Benzín,200,Automatická
Kia,Rio,299000,2022,Ojeté,40000,Benzín,62,Manuální
Škoda,Octavia,645000,2020,Ojeté,142880,Benzín,180,Automatická
Opel,Zafira,184000,2014,Ojeté,108000,Benzín,,Manuální
Mercedes-Benz,Třídy C,239000,2012,Ojeté,192513,Benzín,115,Automatická
Škoda,Superb,449000,2021,Ojeté,189999,Nafta,90,Automatická
Volkswagen,Touran,540000,2018,Ojeté,99360,Nafta,110,Automatická
Škoda,Kodiaq,845000,2022,Ojeté,115322,Nafta,147,Automatická
Škoda,Octavia,545000,2021,Ojeté,163078,Nafta,147,Automatická
Škoda,Octavia,199000,2009,Ojeté,202992,Nafta,77,Manuální
Škoda,Superb,575000,2020,Ojeté,146958,Nafta,147,Automatická
Mercedes-Benz,Třídy S,2345000,2023,Ojeté,70540,Nafta,243,Automatická
Kia,Cee´d,179000,2018,Ojeté,218000,Nafta,100,Manuální
BMW,X1,569000,2019,Ojeté,82496,Nafta,140,Automatická
Volkswagen,Sharan,279000,2017,Ojeté,362000,Nafta,110,Automatická
Ford,Fiesta,49000,2010,Ojeté,219000,Nafta,70,Manuální
Mercedes-Benz,Třídy E,248500,2010,Ojeté,277000,Nafta,170,Automatická
Subaru,XV,400000,2018,Ojeté,67000,Benzín,84,Automatická
Mercedes-Benz,GLE,2649000,2025,Ojeté,2496,Nafta,270,Automatická
Škoda,Superb,575000,2022,Ojeté,176451,Benzín,140,Automatická
Škoda,Fabia,253000,2021,Ojeté,101284,Benzín,70,Manuální
Ford,Mondeo,265000,2015,Ojeté,157742,Nafta,132,Automatická
Hyundai,Tucson,515000,2022,Ojeté,122909,Hybridní,169,Automatická
Volkswagen,Touran,129000,2010,Ojeté,307000,Nafta,77,Manuální
Mazda,CX-5,490000,2019,Ojeté,101006,Benzín,143,Automatická
Chevrolet,Captiva,70000,2007,Ojeté,209704,Nafta,110,Automatická
Škoda,Fabia,245000,2021,Ojeté,66880,Benzín,70,Manuální
Nissan,Qashqai,180000,2017,Ojeté,198657,Benzín,85,Manuální
Škoda,Scala,348000,2022,Ojeté,120740,Benzín,81,Manuální
Land Rover,Defender,4799000,2025,Nové,0,Benzín,467,Automatická
Ford,Ranger,229000,2015,Ojeté,272955,Nafta,110,Manuální
Volkswagen,Golf,450000,2022,Ojeté,54019,Benzín,96,Manuální
Volkswagen,Golf,532000,2023,Ojeté,41764,Benzín,96,Manuální
Škoda,Karoq,430000,2017,Ojeté,160800,Benzín,110,Automatická
Škoda,Octavia,80000,2010,Ojeté,165439,Benzín,77,Manuální
Mercedes-Benz,AMG GT,2249000,2022,Ojeté,60351,Benzín,320,Automatická
Volkswagen,Passat,210000,2015,Ojeté,167000,Nafta,110,Manuální
Škoda,Kodiaq,570000,2021,Ojeté,214462,Nafta,147,Automatická
Hyundai,i30,280000,2021,Ojeté,110848,Benzín,88,Manuální
Peugeot,3008,140000,2015,Ojeté,176040,Nafta,88,Manuální
Škoda,Karoq,270000,2019,Ojeté,225690,Benzín,85,Manuální
Peugeot,5008,80000,2011,Ojeté,206001,Nafta,82,Manuální
Volkswagen,Golf,240000,2013,Ojeté,136460,Benzín,90,Automatická
MG,ZS,423000,2025,,3688,Benzín,78,Manuální
Škoda,Octavia,450000,2022,Ojeté,78714,Benzín,110,Manuální
Škoda,Octavia,30000,2008,Ojeté,323614,Nafta,77,Manuální
Škoda,Scala,351000,2021,Ojeté,48296,Benzín,81,Manuální
Škoda,Superb,80000,2009,Ojeté,235292,Nafta,125,Manuální
Škoda,Octavia,411000,2021,Ojeté,92663,Benzín,110,Manuální
Cupra,Formentor,629000,2024,Ojeté,64949,Benzín,140,Automatická
Dacia,Duster,339000,2022,Ojeté,50000,Benzín,,Manuální
Citroën,C4 Picasso,160000,2015,Ojeté,170530,Nafta,85,Manuální
Mercedes-Benz,Třídy A,1399000,2024,Ojeté,20104,Benzín,310,Automatická
Škoda,Fabia,85000,2009,Ojeté,169716,Benzín,77,Manuální
Škoda,Octavia,626000,2021,Ojeté,25974,Nafta,110,Automatická
BMW,Řada 5,1100000,2023,Ojeté,44690,Nafta,145,Automatická
Volkswagen,Golf,330000,2019,Ojeté,64129,Benzín,85,Manuální
Cupra,Formentor,686000,2024,Ojeté,22364,Benzín,140,Automatická
Ford,Fiesta,25000,2003,Ojeté,240560,Benzín,59,Manuální
Volvo,XC90,1249000,2022,Ojeté,80471,Nafta,173,Automatická
Ford,Kuga,420000,2018,Ojeté,65838,Benzín,129,Automatická
MG,ZS,480000,2025,,12934,Benzín,85,Manuální
Kia,Cee´d,75000,2012,Ojeté,321438,Nafta,94,Manuální
Škoda,Karoq,620000,2024,Ojeté,38582,Benzín,110,Manuální
Volkswagen,Tiguan,180000,2009,Ojeté,199794,Nafta,103,Manuální
Kia,Cee´d,320000,2018,Ojeté,123736,Nafta,100,Automatická
Dacia,Duster,360000,2022,Ojeté,37274,Benzín,67,Manuální
Škoda,Octavia,160000,2018,Ojeté,351557,Nafta,85,Manuální
Škoda,Fabia,175000,2018,Ojeté,81276,Benzín,44,Manuální
Škoda,Kodiaq,770000,2021,Ojeté,136082,Benzín,180,Automatická
Škoda,Fabia,220000,2019,Ojeté,60669,Benzín,55,Manuální
Hyundai,i30,270000,2020,Ojeté,91430,Benzín,81,Manuální
MG,ZS,400000,2023,Ojeté,32308,Benzín,82,Automatická
Kia,Sportage,837980,2026,Nové,1,Benzín,110,Automatická
Dacia,Duster,310000,2023,Ojeté,105310,Nafta,85,Manuální
Ford,Fiesta,90000,2013,Ojeté,42922,Benzín,44,Manuální
Škoda,Fabia,330000,2017,Ojeté,42990,Benzín,81,Automatická
Hyundai,i20,260000,2020,Ojeté,22498,Benzín,62,Manuální
Kia,Cee´d,75000,2011,Ojeté,151458,Benzín,66,Manuální
Opel,Insignia,110000,2009,Ojeté,189455,Nafta,118,Automatická
Hyundai,Tucson,380000,2020,Ojeté,89922,Benzín,130,Manuální
Hyundai,i20,360000,2024,Ojeté,13284,Benzín,58,Manuální
Škoda,Fabia,49000,2001,Ojeté,132283,Benzín,44,Manuální
Škoda,Fabia,85000,2012,Ojeté,197077,Benzín,63,Manuální
Ford,Transit Connect,325000,2021,Ojeté,64558,Nafta,73,Manuální
Hyundai,Tucson,430000,2020,Ojeté,52961,Nafta,100,Manuální
Hyundai,i30,140000,2013,Ojeté,119620,Benzín,99,Manuální
Škoda,Octavia,330000,2018,Ojeté,128821,Benzín,132,Manuální
Škoda,Fabia,249000,2018,Ojeté,66441,Benzín,55,Manuální
BMW,Řada 3,439000,2020,Ojeté,196000,Nafta,110,Automatická
Renault,Mégane,400000,2021,Ojeté,76334,Hybridní,116,Automatická
Peugeot,208,160000,2018,Ojeté,73416,Benzín,60,Manuální
Opel,Astra,100000,2015,Ojeté,213652,Nafta,81,Manuální
Škoda,Superb,240000,2014,Ojeté,228552,Nafta,103,Manuální
Škoda,Octavia,80000,2010,Ojeté,174821,Nafta,74,Manuální
Škoda,Fabia,170000,2021,Ojeté,197509,Benzín,70,Manuální
Mercedes-Benz,Třídy S,3439000,2025,Ojeté,9954,Nafta,270,Automatická
Volkswagen,Golf,370000,2020,Ojeté,94096,Benzín,110,Manuální
DS,4,120000,2011,Ojeté,196638,Nafta,120,Manuální
Hyundai,Tucson,240000,2015,Ojeté,227563,Nafta,85,Manuální
Škoda,Fabia,230000,2019,Ojeté,152747,Benzín,81,Automatická
Audi,Q7,500000,2016,Ojeté,263458,Nafta,200,Automatická
Škoda,Kodiaq,410000,2017,Ojeté,208890,Nafta,110,Automatická
Peugeot,3008,320000,2018,Ojeté,135636,Benzín,96,Automatická
Kia,Rio,189000,2016,Ojeté,52591,Benzín,62,Manuální
Audi,A6 allroad,2099000,2025,Nové,2971,Nafta,253,Automatická
Škoda,Octavia,135000,2015,Ojeté,297000,Nafta,66,Manuální
Škoda,Roomster,80000,2011,Ojeté,138387,Benzín,63,Manuální
Mercedes-Benz,ML,115000,2004,Ojeté,258000,Nafta,120,Automatická
Honda,CR-V,340000,2015,Ojeté,105974,Benzín,114,Manuální
Opel,Crossland,319000,2021,Ojeté,55192,Benzín,81,Manuální
Ford,Kuga,897800,2026,Nové,14,Hybridní,132,Automatická
Volkswagen,Touran,189900,2014,Ojeté,227654,Nafta,103,Automatická
Subaru,Legacy,99999,2005,Ojeté,174423,Benzín,180,Automatická
Volkswagen,Touran,99000,2008,Ojeté,302000,Nafta,103,Automatická
Seat,Arona,299999,2018,Ojeté,125632,Nafta,85,Manuální
Škoda,Kodiaq,660000,2021,Ojeté,116426,Nafta,147,Automatická
Hyundai,ix35,180000,2015,Ojeté,149353,Nafta,85,Manuální
Renault,Mégane,45000,2005,Ojeté,200000,Nafta,88,Manuální
Volkswagen,Caddy,210000,2018,Ojeté,258105,CNG + benzín,81,Manuální
Škoda,Roomster,99000,2012,Ojeté,228234,Benzín,63,Manuální
Škoda,Superb,360000,2018,Ojeté,212442,Nafta,140,Automatická
Škoda,Superb,540000,2019,Ojeté,144944,Nafta,140,Automatická
Škoda,Superb,619000,2022,Ojeté,104054,Nafta,110,Manuální
Škoda,Superb,515000,2020,Ojeté,112827,Nafta,147,Automatická
Audi,A4,429990,2017,Ojeté,153416,Nafta,110,Automatická
Škoda,Octavia,230000,2017,Ojeté,121523,Nafta,85,Manuální
Volkswagen,Golf,68999,2003,Ojeté,245845,Benzín,,Manuální
Jeep,Compass,420000,2020,Ojeté,84652,Benzín,125,Automatická
Mercedes-Benz,GLC,750000,2018,Ojeté,84200,Benzín,155,Automatická
Peugeot,208,435000,2024,Ojeté,12045,Benzín,74,Automatická
Ford,Ranger,1550010,2024,Ojeté,18051,Benzín,215,Automatická
Nissan,Qashqai,140000,2013,Ojeté,224510,LPG + benzín,86,Manuální
Škoda,Kodiaq,480000,2018,Ojeté,241072,Nafta,140,Automatická
Mercedes-Benz,Třídy S,1449000,2021,Ojeté,106218,Nafta,210,Automatická
BMW,X4,949000,2019,Ojeté,128000,Benzín,375,Automatická
Hyundai,Kona,639900,2022,Ojeté,49950,Benzín,206,Automatická
Volkswagen,Passat Variant,79800,2014,Ojeté,356598,CNG + benzín,110,Manuální
Škoda,Octavia,230000,2018,Ojeté,210484,Nafta,85,Manuální
Ford,Focus,270000,2018,Ojeté,43846,Benzín,92,Manuální
Škoda,Octavia,429999,2020,Ojeté,96590,Benzín,110,Manuální
Citroën,Grand C4 Picasso,99999,2012,Ojeté,206630,Nafta,109,Manuální
Škoda,Fabia,229000,2021,Ojeté,124067,Benzín,81,Manuální
Škoda,Octavia,750000,2022,Ojeté,52488,Nafta,147,Automatická
Škoda,Fabia,242000,2021,Ojeté,88082,Benzín,70,Manuální
Dodge,Magnum,149000,2006,Ojeté,130639,Benzín,142,Automatická
Škoda,Fabia,160000,2016,Ojeté,157663,Nafta,66,Manuální
Škoda,Octavia,461000,2022,Ojeté,95884,Benzín,110,Manuální
Škoda,Superb,973000,2025,Ojeté,14300,Hybridní,150,Automatická
Audi,A4,70000,2008,Ojeté,279274,Nafta,88,Manuální
Volkswagen,Golf,60000,2010,Ojeté,315113,Benzín,90,Manuální
Peugeot,Expert,50000,2008,Ojeté,303951,Nafta,88,Manuální
Škoda,Octavia,489000,2022,Ojeté,77105,Benzín,110,Manuální
Škoda,Octavia,481000,2023,Ojeté,48463,Nafta,85,Manuální
Škoda,Octavia,310000,2021,Ojeté,167514,Benzín,81,Manuální
Volvo,XC40,499000,2018,Ojeté,194153,Nafta,140,Automatická
BMW,X3,750000,2018,Ojeté,95000,Nafta,,
Volkswagen,Touran,444900,2021,Ojeté,140000,Benzín,110,Automatická
Audi,A5,359000,2016,Ojeté,99442,Nafta,110,Manuální
Hyundai,i30,330000,2022,Ojeté,80515,Benzín,117,Manuální
Škoda,Karoq,580000,2024,Ojeté,50284,Benzín,110,Manuální
Škoda,Karoq,519000,2019,Ojeté,125700,Nafta,110,Automatická
Hyundai,i30,500000,2024,Ojeté,9566,Benzín,74,Automatická
Škoda,Fabia,115000,2018,Ojeté,223666,Nafta,,Manuální
Peugeot,Rifter,439999,2019,Ojeté,27014,Nafta,96,Manuální
Cupra,Formentor,671000,2024,Ojeté,26037,Benzín,110,Automatická
Škoda,Karoq,580000,2021,Ojeté,84355,Nafta,110,Automatická
Kia,Rio,249999,2022,Ojeté,66720,Benzín,62,Manuální
Peugeot,Rifter,420000,2019,Ojeté,50066,Nafta,96,Manuální
Škoda,Octavia,220000,2014,Ojeté,258928,Nafta,135,Automatická
Mercedes-Benz,SL,1394986,2017,Ojeté,35000,Benzín,270,Automatická
Mazda,MX-5,569000,2017,Ojeté,59900,Benzín,118,Manuální
Ford,Focus,90000,2010,Ojeté,178800,Benzín,85,Manuální
Mercedes-Benz,CLA,509999,2016,Ojeté,137132,Nafta,100,Manuální
Škoda,Octavia,289999,2020,Ojeté,222900,Benzín,110,Manuální
Hyundai,Ioniq,349990,2020,Ojeté,50000,Elektro,100,Automatická
Mercedes-Benz,SL,2470012,2023,Ojeté,12350,Benzín,280,Automatická
Škoda,Octavia,245000,2017,Ojeté,234525,Nafta,110,Automatická
Hyundai,Tucson,630000,2023,Ojeté,39048,Benzín,132,Automatická
Kia,Stonic,299000,2023,Ojeté,36327,Benzín,61,Manuální
Volkswagen,Passat,525000,2023,Ojeté,127700,Nafta,110,Automatická
Hyundai,Tucson,350000,2015,Ojeté,100448,Nafta,100,Automatická
Ford,Kuga,508000,2021,Ojeté,61000,Benzín,111,Manuální
Audi,Q7,110000,2006,Ojeté,446000,Nafta,176,Automatická
Škoda,Superb,484000,2021,Ojeté,141900,Nafta,110,Automatická
Ford,Puma,355000,2023,Ojeté,78000,Benzín,92,Manuální
Volvo,XC40,600000,2021,Ojeté,99623,Benzín,120,Automatická
Škoda,Octavia,25000,1999,Ojeté,247000,Nafta,81,Manuální
Ford,Puma,358000,2023,Ojeté,74000,Benzín,92,Manuální
Škoda,Kodiaq,555000,2020,Ojeté,141000,Nafta,110,Automatická
Škoda,Superb,285000,2016,Ojeté,246000,Nafta,110,Manuální
Hyundai,Tucson,440000,2021,Ojeté,90042,Nafta,85,Manuální
Hyundai,Tucson,470000,2021,Ojeté,71662,Benzín,110,Manuální
Mercedes-Benz,GLB,849000,2021,Ojeté,57568,Nafta,110,Automatická
Mercedes-Benz,SL,1269485,2016,Ojeté,106149,Benzín,270,Automatická
Mercedes-Benz,GLC,815000,2019,Ojeté,83376,Benzín,145,Automatická
Škoda,Fabia,280000,2022,Ojeté,65378,Benzín,70,Manuální
Škoda,Kamiq,420000,2019,Ojeté,67376,Benzín,85,Automatická
Kia,Cee´d,80000,2011,Ojeté,98337,Benzín,66,Manuální
Škoda,Octavia,100000,2012,Ojeté,242026,Nafta,77,Automatická
Hyundai,Tucson,445000,2019,Ojeté,88560,Benzín,130,Automatická
Ford,Kuga,380000,2022,Ojeté,136825,Nafta,88,Automatická
Dacia,Duster,360000,2022,Ojeté,38512,LPG + benzín,67,Manuální
Hyundai,Tucson,700000,2025,,14680,Benzín,118,Manuální
Škoda,Fabia,100000,2007,Ojeté,127987,Benzín,77,Manuální
Škoda,Fabia,150000,2015,Ojeté,92950,Benzín,44,Manuální
Škoda,Scala,310000,2021,Ojeté,92246,Benzín,81,Automatická
Nissan,Qashqai,75000,2008,Ojeté,239762,Nafta,110,Manuální
Škoda,Scala,520000,2025,,19717,Benzín,85,Manuální
Ford,Kuga,220000,2015,Ojeté,210531,Nafta,110,Manuální
Volkswagen,Sharan,100000,2009,Ojeté,280666,Nafta,85,Automatická
Volkswagen,Golf,165000,2016,Ojeté,256674,Nafta,81,Manuální
Suzuki,Swift,80000,2011,Ojeté,128699,Benzín,68,Manuální
Mercedes-Benz,EQS,2249000,2024,Ojeté,31129,Elektro,330,Automatická
Dacia,Duster,240000,2021,Ojeté,186781,Benzín,74,Manuální
Škoda,Fabia,255000,2018,Ojeté,81011,Benzín,81,Manuální
Hyundai,Tucson,680000,2024,Ojeté,14630,Benzín,118,Automatická
Volkswagen,Golf,85000,2009,Ojeté,257660,Benzín,75,Manuální
Škoda,Fabia,75000,2008,Ojeté,119014,Benzín,51,Manuální
Toyota,Yaris,300000,2017,Ojeté,54813,Hybridní,74,Automatická
Mercedes-Benz,Třídy E,325000,2013,Ojeté,199500,Benzín,155,Automatická
Audi,Q7,1497000,2022,Ojeté,108000,Nafta,210,Automatická
BMW,Řada 7,300000,2011,Ojeté,198701,Nafta,180,Automatická
Škoda,Fabia,380000,2023,Ojeté,48462,Benzín,81,Manuální
Volkswagen,Golf Plus,90000,2009,Ojeté,212429,Benzín,90,Manuální
Peugeot,407,50000,2009,Ojeté,226786,Nafta,100,Automatická
Škoda,Octavia,80000,2011,Ojeté,342722,Nafta,77,Manuální
Ford,Tourneo Custom,1400000,2026,Nové,10,Elektro,160,Automatická
Volkswagen,Golf,490000,2023,Ojeté,27070,Benzín,81,Automatická
BMW,X5,439000,2018,Ojeté,286000,Nafta,190,Automatická
Volkswagen,Polo,280000,2015,Ojeté,26308,Benzín,66,Automatická
Škoda,Octavia,170000,2014,Ojeté,164182,Benzín,77,Manuální
Mercedes-Benz,Třídy V,2399000,2024,Ojeté,28588,Nafta,174,Automatická
Dodge,Challenger,679000,2021,Ojeté,96500,Benzín,226,Automatická
Škoda,Fabia,60000,2010,Ojeté,119961,Benzín,44,Manuální
Volkswagen,Golf,120000,2009,Ojeté,207106,Benzín,90,Manuální
Audi,Q7,739000,2017,Ojeté,193000,Nafta,200,Automatická
Škoda,Kodiaq,669800,2022,Ojeté,171447,Nafta,147,Automatická
Škoda,Octavia,798000,2025,Ojeté,19641,Benzín,110,Automatická
Seat,Leon,199000,2014,Ojeté,182300,Nafta,110,Manuální
BMW,Řada 3,90000,2007,Ojeté,311567,Nafta,120,Manuální
Hyundai,i30,370000,2022,Ojeté,50305,Benzín,81,Manuální
Audi,A4,465000,2019,Ojeté,82324,Benzín,110,Manuální
Škoda,Octavia,200000,2015,Ojeté,267454,Nafta,135,Manuální
Mercedes-Benz,GLS,1577481,2020,Ojeté,132185,Nafta,243,Automatická
Volkswagen,Passat,498000,2020,Ojeté,90300,Nafta,110,Automatická
Škoda,Karoq,728000,2023,Ojeté,29900,Benzín,110,Automatická
Audi,A6,795900,2021,Ojeté,90000,Nafta,180,Automatická
BMW,X3,89999,2004,Ojeté,351028,Nafta,110,Manuální
Mercedes-Benz,GLA,497000,2019,Ojeté,83000,Benzín,155,Automatická
Volkswagen,Passat,588000,2022,Ojeté,95850,Benzín,110,Automatická
Mercedes-Benz,GLS,1623262,2020,Ojeté,58000,Benzín,270,Automatická
Subaru,Outback,165900,2012,Ojeté,173000,Nafta,110,Manuální
Škoda,Kamiq,548000,2025,Ojeté,14103,Benzín,85,Manuální
Audi,e-tron,590000,2020,Ojeté,85738,Elektro,230,Automatická
Mercedes-Benz,GLS,2949000,2025,Ojeté,14917,Benzín,380,Automatická
Škoda,Octavia,60000,2007,Ojeté,290337,Benzín,85,Manuální
Škoda,Kodiaq,868000,2023,Ojeté,99990,Nafta,147,Automatická
Škoda,Octavia,598000,2024,Ojeté,19577,Benzín,110,Manuální
Suzuki,SX4,98000,2009,Ojeté,167024,Benzín,79,Manuální
Škoda,Karoq,498000,2018,Ojeté,124520,Nafta,110,Automatická
Škoda,Karoq,498000,2019,Ojeté,108344,Nafta,110,Manuální
Dodge,Ram,799000,2021,Ojeté,180000,Benzín,295,Automatická
Škoda,Octavia,498000,2021,Ojeté,90643,Nafta,110,Manuální
Škoda,Fabia,398000,2025,Ojeté,9911,Benzín,70,Manuální
Škoda,Octavia,738000,2025,Ojeté,14990,Benzín,110,Manuální
Škoda,Kodiaq,838000,2023,Ojeté,119596,Benzín,140,Automatická
Volkswagen,Touran,498000,2022,Ojeté,163052,Nafta,110,Automatická
Audi,A6,398000,2007,Ojeté,14030,Nafta,171,Automatická
Cupra,Formentor,748000,2021,Ojeté,88200,Benzín,228,Automatická
Škoda,Octavia,498000,2022,Ojeté,124990,Nafta,110,Manuální
Škoda,Octavia,598000,2025,Ojeté,25082,Nafta,85,Manuální
Škoda,Superb,548000,2023,Ojeté,169108,Nafta,110,Automatická
Škoda,Scala,548000,2025,Ojeté,16155,Benzín,85,Automatická
Seat,Leon,478000,2021,Ojeté,108600,Benzín,110,Automatická
Škoda,Karoq,648000,2023,Ojeté,68500,Nafta,110,Manuální
Škoda,Karoq,528000,2019,Ojeté,131755,Nafta,110,Automatická
Škoda,Kodiaq,868000,2022,Ojeté,80406,Nafta,147,Automatická
Škoda,Kamiq,498000,2024,Ojeté,13486,Benzín,85,Manuální
Volkswagen,Golf,398000,2021,Ojeté,67800,Benzín,81,Manuální
Škoda,Octavia,518000,2021,Ojeté,182329,Nafta,147,Automatická
Seat,Leon,518000,2023,Ojeté,69241,Benzín,110,Manuální
Seat,Ateca,438000,2019,Ojeté,139666,Benzín,110,Manuální
Škoda,Karoq,588000,2020,Ojeté,52990,Benzín,110,Automatická
Volkswagen,Golf,598000,2021,Ojeté,82510,Benzín,180,Manuální
Škoda,Scala,388000,2021,Ojeté,130811,Benzín,110,Manuální
Škoda,Fabia,428000,2024,Ojeté,17447,Benzín,85,Manuální
Škoda,Octavia,628000,2024,Ojeté,26530,Benzín,110,Manuální
Škoda,Octavia,648000,2022,Ojeté,85670,Nafta,147,Automatická
Mercedes-Benz,EQB,750000,2022,Ojeté,54600,Elektro,215,Automatická
Škoda,Kodiaq,1178000,2024,Ojeté,24282,Nafta,142,Automatická
Seat,Ateca,388000,2018,Ojeté,170800,Benzín,110,Automatická
Škoda,Kodiaq,798000,2021,Ojeté,116720,Nafta,147,Automatická
Seat,Ateca,488000,2018,Ojeté,63805,Benzín,110,Manuální
Mercedes-Benz,Třídy A,1399000,2022,Ojeté,36925,Benzín,310,Automatická
Škoda,Superb,568000,2023,Ojeté,146773,Nafta,110,Automatická
Škoda,Kodiaq,1098000,2023,Ojeté,31200,Benzín,180,Automatická
Škoda,Octavia,678000,2024,Ojeté,19880,Benzín,110,Manuální
Škoda,Octavia,368000,2021,Ojeté,122022,Nafta,85,Automatická
Škoda,Kodiaq,1178000,2024,Ojeté,27825,Nafta,142,Automatická
Volvo,S90,1199000,2024,Ojeté,30482,Hybridní,335,Automatická
Kia,PV5,1198980,2026,Nové,1,Elektro,120,Automatická
Dodge,Ram,1999000,2022,Ojeté,19000,Benzín,295,Automatická
Ford,Tourneo Courier,548900,2026,Nové,12,Benzín,92,Manuální
Land Rover,Range Rover Sport,2549000,2025,,14900,Hybridní,338,Automatická
Volvo,XC40,829000,2023,Ojeté,31928,Benzín,120,Automatická
Volvo,XC40,649000,2020,Ojeté,85151,Nafta,110,Automatická
Ford,Ranger,1420000,2026,Nové,10,Nafta,151,Automatická
Volvo,V60,569000,2020,Ojeté,97985,Nafta,110,Automatická
Mercedes-Benz,Třídy V,1549000,2022,Ojeté,97823,Nafta,174,Automatická
Ford,Capri,1186900,2026,Nové,10,Elektro,250,Automatická
Dodge,Ram,1099000,2019,Ojeté,171000,Benzín,295,Automatická
Škoda,Karoq,638000,2023,Ojeté,12157,Benzín,110,Manuální
Seat,Arona,408000,2023,Ojeté,47739,Benzín,81,Manuální
Škoda,Karoq,628000,2022,Ojeté,27380,Benzín,110,Manuální
