znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Volkswagen,Tiguan,179000,2010,Ojeté,194003,Benzín,125,Manuální
Mercedes-Benz,Třídy S,3099000,2024,Ojeté,32295,Benzín,370,Automatická
Ford,Kuga,279000,2015,Ojeté,143945,Nafta,110,Manuální
Ford,Kuga,263000,2016,Ojeté,97479,Benzín,110,Manuální
Hyundai,i30,210000,2019,Ojeté,174530,Nafta,85,Manuální
Kia,Sportage,269000,2016,Ojeté,185625,Nafta,100,Manuální
Kia,Sportage,399000,2016,Ojeté,65724,Benzín,130,Automatická
Ford,Focus,229000,2019,Ojeté,180773,Benzín,110,Manuální
Hyundai,Tucson,359000,2015,Ojeté,137404,Nafta,100,Automatická
Mercedes-Benz,GLE,1299000,2020,Ojeté,104757,Hybridní,235,Automatická
Hyundai,Tucson,330000,2016,Ojeté,169449,Nafta,100,Automatická
Ford,Focus,145000,2011,Ojeté,144708,Nafta,85,Manuální
Škoda,Fabia,279000,2019,Ojeté,54703,Benzín,81,Manuální
Hyundai,Tucson,590000,2023,Ojeté,4300,Benzín,110,Manuální
Ford,Focus,350000,2020,Ojeté,135294,Nafta,110,Automatická
Hyundai,i30,280000,2019,Ojeté,124134,Benzín,103,Automatická
Volvo,S60,979000,2024,Ojeté,13021,Hybridní,335,Automatická
Škoda,Fabia,205000,2016,Ojeté,102184,Benzín,66,Manuální
Ford,Focus,250000,2019,Ojeté,145305,Nafta,88,Manuální
Hyundai,Tucson,425000,2018,Ojeté,102978,Nafta,136,Manuální
Hyundai,Tucson,260000,2016,Ojeté,183678,Nafta,85,Manuální
Hyundai,i30,385000,2020,Ojeté,83217,Benzín,117,Automatická
Hyundai,i30,348000,2020,Ojeté,51835,Benzín,81,Manuální
Ford,Focus,130000,2011,Ojeté,254562,Nafta,120,Automatická
Škoda,Fabia,280000,2017,Ojeté,68442,Benzín,70,Manuální
Volkswagen,Tiguan,170000,2010,Ojeté,226880,Nafta,125,Manuální
Hyundai,i30,275000,2020,Ojeté,129102,Nafta,85,Automatická
Škoda,Superb,210000,2013,Ojeté,238288,Nafta,103,Manuální
Seat,Ateca,724000,2023,Ojeté,51097,Benzín,110,Automatická
Volkswagen,Passat,299000,2015,Ojeté,176788,Nafta,110,Automatická
Škoda,Octavia,280000,2019,Ojeté,137794,Nafta,85,Manuální
Volkswagen,Golf,300000,2012,Ojeté,91856,Benzín,103,Automatická
Škoda,Fabia,219000,2017,Ojeté,95268,Nafta,66,Manuální
Škoda,Superb,389000,2020,Ojeté,239570,Nafta,140,Automatická
Volkswagen,Passat,350000,2017,Ojeté,109366,Benzín,110,Manuální
Volkswagen,Golf,389000,2021,Ojeté,95233,Nafta,85,Manuální
Volkswagen,Golf,385000,2022,Ojeté,156653,Nafta,110,Manuální
Škoda,Superb,430000,2017,Ojeté,156644,Benzín,206,Automatická
Volvo,XC90,999000,2022,Ojeté,66300,Nafta,183,Automatická
Volkswagen,Golf,149990,2010,Ojeté,141393,Benzín,59,Manuální
Škoda,Superb,375000,2015,Ojeté,106618,Nafta,140,Manuální
Škoda,Fabia,200000,2020,Ojeté,170153,Benzín,70,Manuální
Volkswagen,Passat,300000,2016,Ojeté,162860,Nafta,140,Automatická
Volkswagen,Passat,275000,2015,Ojeté,172253,Nafta,110,Manuální
Volkswagen,Golf,290000,2016,Ojeté,129525,Benzín,110,Manuální
Volkswagen,Passat,200000,2013,Ojeté,212226,Nafta,130,Automatická
Škoda,Superb,115000,2012,Ojeté,217500,Nafta,77,Manuální
Volkswagen,Golf,369000,2021,Ojeté,86205,Benzín,81,Manuální
Škoda,Octavia,200000,2013,Ojeté,186199,Nafta,77,Manuální
Ford,Mondeo,225000,2017,Ojeté,214954,Nafta,110,Manuální
Škoda,Octavia,259000,2019,Ojeté,184776,Nafta,85,Manuální
Ford,Mondeo,330000,2019,Ojeté,110429,Benzín,121,Manuální
Volkswagen,Sharan,209000,2011,Ojeté,186353,Benzín,110,Manuální
Volvo,S60,899000,2024,Ojeté,37060,Benzín,194,Automatická
Ford,Mondeo,280000,2019,Ojeté,180667,Nafta,110,Manuální
Ford,Mondeo,210000,2016,Ojeté,211257,Nafta,88,Manuální
Škoda,Octavia,350000,2021,Ojeté,181866,Nafta,85,Manuální
Ford,Mondeo,70000,2010,Ojeté,258865,Nafta,85,Manuální
Citroën,Berlingo,289900,2019,Ojeté,133923,Nafta,96,Manuální
Škoda,Octavia,220000,2013,Ojeté,164947,Nafta,110,Manuální
Volkswagen,Polo,399900,2019,Ojeté,77878,Benzín,147,Manuální
Opel,Corsa,299000,2023,Ojeté,33000,Benzín,74,Manuální
Audi,Q3,360000,2015,Ojeté,85572,Nafta,110,Automatická
Lada,Niva,269999,2016,Ojeté,35600,Benzín,61,Manuální
Toyota,Auris,255000,2016,Ojeté,130000,Benzín,73,Manuální
Hyundai,Santa Fe,775000,2020,Ojeté,79000,Benzín,169,Automatická
Mercedes-Benz,Třídy E,159000,2009,Ojeté,240000,Nafta,,Manuální
Volkswagen,Tiguan,195000,2014,Ojeté,294158,Nafta,103,Manuální
Volvo,XC90,129900,2007,Ojeté,309866,Nafta,136,Automatická
Audi,Q7,1240000,2021,Ojeté,72465,Nafta,210,Automatická
Volkswagen,Touran,111000,2011,Ojeté,341075,Nafta,77,Manuální
Škoda,Superb,199000,2014,Ojeté,348000,Nafta,125,Automatická
Škoda,Superb,359000,2020,Ojeté,212380,Nafta,110,Automatická
Volkswagen,Golf Plus,139000,2012,Ojeté,182187,Benzín,63,Manuální
