znacka,model,cena,rok,stav,najeto,vykon,palivo,kapacita_baterie,prevodovka,pohon
Škoda,Superb,340000,2016,Ojeté,228069,140,Nafta,0,Automatická,
Dacia,Duster,180000,2017,Ojeté,149609,80,Nafta,0,Manuální,4x4
Škoda,Octavia,100000,2010,Ojeté,211625,77,Benzín,0,Manuální,
Škoda,Superb,249000,2015,Ojeté,314000,,Nafta,0,,
Mercedes-Benz,Třídy C,899000,2021,Ojeté,95000,162,Nafta,0,Automatická,
Volkswagen,Tiguan,460000,2018,Ojeté,145317,110,Nafta,0,Automatická,
Hyundai,i20,260000,2020,Ojeté,22498,62,Benzín,0,Manuální,
Škoda,Kodiaq,490000,2022,Ojeté,183520,110,Benzín,0,Manuální,
Renault,Mégane,70000,2011,Ojeté,239475,81,LPG + benzín,0,Manuální,
Volvo,V60,569000,2020,Ojeté,97985,110,Nafta,0,Automatická,
Škoda,Superb,470000,2019,Ojeté,205484,140,Nafta,0,Automatická,4x4
Audi,RS Q8,2640570,2020,Ojeté,102820,441,Benzín,0,Automatická,4x4
Škoda,Octavia,330000,2018,Ojeté,128821,132,Benzín,0,Manuální,
Cupra,Formentor,605000,2023,Ojeté,44923,110,Benzín,0,Automatická,Pohon předních kol
Volkswagen,Tiguan,390000,2017,Ojeté,149068,110,Benzín,0,Automatická,
BMW,Řada 1,270000,2012,Ojeté,111000,115,Benzín,0,Automatická,Pohon zadních kol
MG,ZS,480000,2025,Předváděcí,12934,85,Benzín,0,Manuální,
Volkswagen,Golf,330000,2019,Ojeté,64129,85,Benzín,0,Manuální,
MG,ZS,490000,2025,Předváděcí,16642,85,Benzín,0,Manuální,
Škoda,Kodiaq,940000,2022,Ojeté,42400,140,Benzín,0,Automatická,4x4
Škoda,Karoq,630000,2023,Ojeté,78351,110,Nafta,0,Automatická,4x4
MG,ZS,370000,2024,Ojeté,33098,78,Benzín,0,Manuální,
Audi,Q3,927000,2023,Ojeté,37137,110,Nafta,0,Automatická,4x4
Škoda,Karoq,470000,2021,Ojeté,86574,110,Benzín,0,Manuální,
Hyundai,i30,160000,2015,Ojeté,191343,81,Nafta,0,Manuální,
MG,ZS,480000,2025,Předváděcí,10584,85,Benzín,0,Manuální,
Ford,Kuga,220000,2014,Ojeté,183527,110,Nafta,0,Manuální,
Volvo,S90,1025000,2024,Ojeté,25129,335,Hybridní,0,Automatická,4x4
Škoda,Superb,530000,2019,Ojeté,186852,200,Benzín,0,Automatická,4x4
Dacia,Duster,200000,2016,Ojeté,114998,84,Benzín,0,Manuální,
Hyundai,i30,230000,2018,Ojeté,94601,88,Benzín,0,Manuální,
Škoda,Kodiaq,380000,2018,Ojeté,243914,110,Nafta,0,Automatická,
Volkswagen,Golf,300000,2019,Ojeté,132079,85,Nafta,0,Manuální,
Volkswagen,Touran,85000,2009,Ojeté,242002,103,Benzín,0,Manuální,
Ford,Kuga,500000,2020,Ojeté,33036,110,Nafta,0,Manuální,
Ford,S-MAX,100000,2009,Ojeté,207262,103,Nafta,0,Manuální,
Škoda,Superb,340000,2015,Ojeté,172400,140,Nafta,0,Automatická,4x4
Škoda,Superb,220000,2017,Ojeté,329474,88,Nafta,0,Automatická,
Škoda,Octavia,90000,2011,Ojeté,234177,77,Benzín,0,Manuální,
Kia,Cee´d,430000,2023,Ojeté,25463,118,Benzín,0,Automatická,
MG,ZS,490000,2025,Předváděcí,19686,85,Benzín,0,Manuální,
Kia,Cee´d,160000,2018,Ojeté,152600,100,Nafta,0,Manuální,
Volkswagen,Passat,65000,2007,Ojeté,291889,77,Nafta,0,Manuální,
Hyundai,Tucson,600000,2022,Ojeté,95254,132,Benzín,0,Automatická,4x4
Renault,Mégane,14990,2007,Ojeté,172961,99,Benzín,0,Automatická,Pohon předních kol
Mazda,CX-5,1157800,2026,Nové,1,104,Benzín,0,Automatická,4x4
Mazda,6e,1041900,2026,Nové,1,180,Elektro,80,Automatická,Pohon zadních kol
Land Rover,Defender,1599000,2022,Ojeté,35016,183,Nafta,0,Automatická,4x4
Mazda,3,733300,2026,Nové,1,103,Benzín,0,Automatická,Pohon předních kol
Hyundai,i20,360000,2024,Ojeté,13284,58,Benzín,0,Manuální,
Audi,A4,430000,2016,Ojeté,173000,140,Nafta,0,Automatická,Pohon předních kol
Mazda,CX-60,1468990,2025,Nové,1,187,Nafta,0,Automatická,4x4
Land Rover,Defender,1758000,2023,Ojeté,69000,221,Nafta,0,Automatická,4x4
Mazda,CX-5,1132800,2026,Nové,1,104,Benzín,0,Automatická,4x4
Mazda,CX-5,950000,2026,Nové,1,104,Benzín,0,Automatická,
Mercedes-Benz,GLC,1599000,2024,Ojeté,15854,145,Nafta,0,Automatická,4x4
Hyundai,Tucson,450000,2021,Ojeté,90394,85,Nafta,0,Manuální,
Mazda,3,299900,2019,Ojeté,235000,90,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,349000,2022,Ojeté,130000,85,Nafta,0,Manuální,Pohon předních kol
Mazda,CX-30,579900,2023,Ojeté,36000,137,Benzín,0,Manuální,Pohon předních kol
Škoda,Enyaq Coupé,763000,2022,Ojeté,89938,150,Elektro,82,Automatická,Pohon zadních kol
Mazda,CX-5,1129300,2026,Nové,1,104,Benzín,0,Automatická,4x4
Mazda,6e,1062900,2025,Předváděcí,5000,180,Elektro,80,Automatická,Pohon zadních kol
Mazda,CX-5,1136700,2026,Nové,1,104,Benzín,0,Automatická,4x4
Mazda,CX-30,768490,2026,Nové,1,103,Benzín,0,Automatická,Pohon předních kol
Škoda,Superb,460000,2017,Ojeté,138864,110,Nafta,0,Automatická,
Škoda,Superb,663000,2021,Ojeté,58102,160,Hybridní,0,Automatická,
Škoda,Octavia,498000,2022,Ojeté,104676,85,Nafta,0,Manuální,Pohon předních kol
Škoda,Superb,637000,2022,Ojeté,82773,160,Hybridní,0,Automatická,
Škoda,Superb,636000,2022,Ojeté,142825,147,Nafta,0,Automatická,
Škoda,Kodiaq,976000,2024,Ojeté,48758,147,Nafta,0,Automatická,4x4
Škoda,Kodiaq,772000,2021,Ojeté,125000,140,Benzín,0,Automatická,4x4
Škoda,Karoq,637000,2021,Ojeté,118854,110,Nafta,0,Automatická,4x4
Mercedes-Benz,GLE,2189000,2024,Ojeté,20961,270,Nafta,0,Automatická,4x4
Škoda,Superb,599000,2022,Ojeté,169956,147,Nafta,0,Automatická,
Škoda,Karoq,740000,2024,Ojeté,91166,110,Nafta,0,Automatická,4x4
Škoda,Superb,617000,2022,Ojeté,166022,147,Nafta,0,Automatická,
Škoda,Karoq,515000,2020,Ojeté,175462,110,Benzín,0,Automatická,
Škoda,Kodiaq,999000,2024,Ojeté,34602,147,Nafta,0,Automatická,4x4
Volkswagen,ID.5,750000,2022,Ojeté,69264,220,Elektro,82,Automatická,4x4
Škoda,Kodiaq,936000,2023,Ojeté,49198,147,Nafta,0,Automatická,4x4
Škoda,Karoq,752000,2023,Ojeté,43326,110,Nafta,0,Automatická,4x4
Škoda,Octavia,639000,2023,Ojeté,71411,110,Nafta,0,Automatická,
Škoda,Octavia,626000,2022,Ojeté,71258,110,Benzín,0,Automatická,
Škoda,Superb,871000,2022,Ojeté,16964,147,Nafta,0,Automatická,4x4
Audi,Q5,700000,2020,Ojeté,40094,220,Hybridní,0,Automatická,4x4
Mazda,CX-5,945300,2026,Nové,1,104,Benzín,0,Automatická,
Škoda,Superb,752000,2023,Ojeté,100000,206,Benzín,0,Automatická,4x4
Škoda,Superb,472000,2020,Ojeté,174951,140,Nafta,0,Automatická,
Škoda,Superb,491000,2022,Ojeté,173066,147,Nafta,0,Automatická,
Škoda,Superb,499000,2021,Ojeté,86712,160,Hybridní,0,Automatická,
Škoda,Superb,547000,2021,Ojeté,141997,147,Nafta,0,Automatická,
Škoda,Superb,676000,2023,Ojeté,98666,147,Nafta,0,Automatická,4x4
Škoda,Superb,480000,2022,Ojeté,159207,110,Nafta,0,Automatická,
Land Rover,Defender,1599000,2023,Ojeté,94810,221,Nafta,0,Automatická,4x4
Škoda,Superb,512000,2019,Ojeté,110367,140,Nafta,0,Automatická,4x4
Škoda,Superb,497000,2022,Ojeté,138450,160,Hybridní,0,Automatická,
Škoda,Karoq,527000,2020,Ojeté,172195,110,Nafta,0,Automatická,4x4
Škoda,Superb,520000,2021,Ojeté,105856,160,Hybridní,0,Automatická,
Škoda,Superb,512000,2023,Ojeté,170207,110,Nafta,0,Automatická,
Škoda,Superb,489000,2022,Ojeté,166052,1968,Nafta,0,Automatická,Pohon předních kol
Škoda,Superb,512000,2022,Ojeté,136237,110,Nafta,0,Automatická,
Škoda,Superb,563000,2023,Ojeté,134869,110,Nafta,0,Automatická,
Škoda,Superb,524000,2022,Ojeté,158307,110,Nafta,0,Automatická,
Škoda,Superb,529000,2021,Ojeté,100000,110,Nafta,0,Automatická,
Škoda,Superb,539000,,,100000,,,0,,
Škoda,Superb,580000,2022,Ojeté,150000,147,Nafta,0,Automatická,
Škoda,Superb,418000,2020,Ojeté,150000,115,Benzín,0,Automatická,
Škoda,Superb,508000,2022,Ojeté,166802,110,Nafta,0,Automatická,
Škoda,Superb,559000,2022,Ojeté,108805,110,Benzín,0,Automatická,
Škoda,Superb,630000,2022,Ojeté,110809,147,Nafta,0,Automatická,
Škoda,Superb,838000,2025,Ojeté,21732,110,Nafta,0,Automatická,
Volvo,XC40,649000,2020,Ojeté,85151,110,Nafta,0,Automatická,
Škoda,Superb,642000,2023,Ojeté,100000,147,Nafta,0,Automatická,
Škoda,Superb,520000,2022,Ojeté,148519,110,Nafta,0,Automatická,
Škoda,Superb,726000,2022,Ojeté,89367,147,Nafta,0,Automatická,4x4
Škoda,Superb,526000,2021,Ojeté,160770,147,Nafta,0,Automatická,4x4
Škoda,Superb,590000,2021,Ojeté,75000,160,Hybridní,0,Automatická,
Škoda,Superb,715000,2022,Ojeté,72782,147,Nafta,0,Automatická,
Kia,Sportage,837980,2026,Nové,1,110,Benzín,0,Automatická,Pohon předních kol
Škoda,Superb,519000,2020,Ojeté,98634,160,Hybridní,0,Automatická,
Škoda,Superb,536000,2022,Ojeté,159271,147,Nafta,0,Automatická,
Škoda,Superb,538000,2022,Ojeté,85966,160,Hybridní,0,Automatická,
Škoda,Superb,489000,2022,Ojeté,188269,147,Nafta,0,Automatická,
Škoda,Superb,480000,2022,Ojeté,174162,110,Nafta,0,Automatická,
Škoda,Superb,206000,2012,Ojeté,110028,92,Benzín,0,Manuální,
Škoda,Superb,618000,2022,Ojeté,78684,160,Hybridní,0,Automatická,
Škoda,Superb,590000,2022,Ojeté,128736,147,Nafta,0,Automatická,
Audi,Q5,826000,2022,Ojeté,72733,150,Nafta,0,Automatická,4x4
Mazda,CX-5,1055700,2026,Nové,1,104,Benzín,0,Automatická,4x4
Škoda,Superb,488000,2022,Ojeté,172867,110,Nafta,0,Automatická,
Mazda,CX-5,1132800,2026,Nové,1,104,Benzín,0,Automatická,4x4
Mercedes-Benz,Třídy E,793000,2023,Ojeté,89755,147,Nafta,0,Automatická,
Mercedes-Benz,Třídy C,789000,2023,Ojeté,80998,150,Hybridní,0,Automatická,
Volkswagen,Multivan,818000,2018,Ojeté,135465,110,Nafta,0,Automatická,
Škoda,Superb,496000,2022,Ojeté,146083,110,Nafta,0,Automatická,
Škoda,Superb,682000,2021,Ojeté,115251,147,Nafta,0,Automatická,4x4
Škoda,Superb,508000,2022,Ojeté,176383,147,Nafta,0,Automatická,
Škoda,Superb,535000,2022,Ojeté,161268,147,Nafta,0,Automatická,
Mazda,CX-80,1699900,2026,Nové,1,187,Nafta,0,Automatická,4x4
Mazda,CX-5,1048300,2026,Nové,1,104,Benzín,0,Automatická,4x4
Audi,A8,1590000,2022,Ojeté,95542,338,Benzín,0,Automatická,4x4
Land Rover,Defender,2149000,2025,Nové,0,183,Nafta,0,Automatická,4x4
Mercedes-Benz,Třídy C,1499000,2024,Ojeté,11095,300,Benzín,0,Automatická,4x4
Mercedes-Benz,GLB,992000,2024,Ojeté,15000,110,Nafta,0,Automatická,4x4
Škoda,Superb,644000,2022,Ojeté,91850,147,Nafta,0,Automatická,
Škoda,Superb,472000,2020,Ojeté,103384,160,Hybridní,0,Automatická,
Audi,Q5,913000,2022,Ojeté,26419,150,Nafta,0,Automatická,4x4
Škoda,Superb,609000,2021,Ojeté,54184,160,Hybridní,0,Automatická,
Mercedes-Benz,Třídy C,840000,2022,Ojeté,42158,147,Nafta,0,Automatická,4x4
Mercedes-Benz,GLC,479000,2018,Ojeté,181182,125,Nafta,0,Automatická,4x4
Mercedes-Benz,Třídy C,982000,2023,Ojeté,53155,193,Nafta,0,Automatická,
Škoda,Citigo,290000,2020,Ojeté,63990,61,Elektro,36,Automatická,
Volkswagen,Transporter,862000,2024,Ojeté,69299,110,Nafta,0,Automatická,Pohon předních kol
Mazda,CX-80,1657190,2025,Předváděcí,2000,187,Nafta,0,Automatická,4x4
Land Rover,Range Rover Sport,3089000,2026,Nové,0,258,Nafta,0,Automatická,4x4
Mercedes-Benz,Třídy E,943000,2023,Ojeté,45340,143,Hybridní,0,Automatická,
Mercedes-Benz,Třídy E,759000,2022,Ojeté,94159,155,Hybridní,0,Automatická,
Mercedes-Benz,Třídy E,607000,2019,Ojeté,125000,135,Benzín,0,Automatická,
Volkswagen,Passat Variant,318000,2019,Ojeté,264776,140,Nafta,0,Automatická,Pohon předních kol
Mazda,CX-80,1680000,2026,Nové,1,187,Nafta,0,Automatická,4x4
Škoda,Kodiaq,662000,2020,Ojeté,103353,140,Nafta,0,Automatická,4x4
Mercedes-Benz,Třídy E,638000,2019,Ojeté,114493,143,Nafta,0,Automatická,
Mercedes-Benz,Třídy C,496000,2021,Ojeté,139612,143,Nafta,0,Automatická,
Volkswagen,Passat Variant,430000,2022,Ojeté,175191,110,Nafta,0,Automatická,Pohon předních kol
Volkswagen,Arteon Shooting Brake,498000,2021,Ojeté,168791,110,Nafta,0,Automatická,Pohon předních kol
Mercedes-Benz,GLC,897000,2022,Ojeté,78054,145,Benzín,0,Automatická,4x4
Mercedes-Benz,Třídy C,823000,2023,Ojeté,66022,150,Hybridní,0,Automatická,
Volkswagen,Passat Variant,439000,2021,Ojeté,124062,160,Hybridní,0,Automatická,Pohon předních kol
Volkswagen,Passat Variant,496000,2022,Ojeté,161604,147,Nafta,0,Automatická,4x4
Volkswagen,Passat Variant,407000,2022,Ojeté,158422,110,Nafta,0,Automatická,
Škoda,Octavia,780000,2023,Ojeté,66352,180,Benzín,0,Automatická,
Volkswagen,Passat Variant,689000,2024,Ojeté,50000,110,Nafta,0,Automatická,
Kia,Sorento,1474980,2026,Nové,1,142,Nafta,0,Automatická,4x4
Mercedes-Benz,GLE,1899000,2021,Ojeté,84131,320,Benzín,0,Automatická,4x4
Volkswagen,Golf Variant,487000,2023,Ojeté,132206,110,Nafta,0,Automatická,
Volkswagen,ID.3,385000,2021,Ojeté,140859,150,Elektro,77,Automatická,
Volkswagen,Passat Variant,414000,2022,Ojeté,181573,110,Nafta,0,Manuální,
Volkswagen,Passat Variant,582000,2022,Ojeté,146543,147,Nafta,0,Automatická,
Volkswagen,ID.3,449000,2021,Ojeté,55782,150,Elektro,58,Automatická,
Škoda,Octavia,460000,2021,Ojeté,120729,110,Nafta,0,Automatická,
Volkswagen,ID.4,649000,2023,Ojeté,54710,150,Elektro,77,Automatická,
Seat,Ateca,454000,2022,Ojeté,129063,110,Nafta,0,Automatická,
Volkswagen,Arteon,692000,2023,Ojeté,38856,110,Nafta,0,Automatická,
Škoda,Octavia,482000,2022,Ojeté,62193,110,Benzín,0,Manuální,
Volkswagen,ID.4,553000,2021,Ojeté,99710,150,Elektro,77,Automatická,
Škoda,Octavia,398000,2021,Ojeté,142390,110,Benzín,0,Manuální,
Škoda,Kodiaq,689000,2023,Ojeté,142225,110,Nafta,0,Automatická,4x4
Volkswagen,Passat,462000,2022,Ojeté,133563,110,Nafta,0,Automatická,
Seat,Ateca,422000,2020,Ojeté,167337,110,Nafta,0,Automatická,
Volkswagen,ID.4,616000,2023,Ojeté,55506,150,Elektro,77,Automatická,
Škoda,Octavia,418000,2021,Ojeté,145299,110,Nafta,0,Manuální,
Volkswagen,Passat,476000,2020,Ojeté,176886,110,Nafta,0,Automatická,
Volkswagen,Passat,639000,2021,Ojeté,110838,147,Nafta,0,Automatická,4x4
Volkswagen,Passat,626000,2022,Ojeté,66758,110,Nafta,0,Automatická,
Volvo,XC90,479000,2016,Ojeté,242850,173,Nafta,0,Automatická,4x4
Volkswagen,Arteon Shooting Brake,573000,2022,Ojeté,121524,160,Hybridní,0,Automatická,
Škoda,Octavia,596000,2024,Ojeté,30000,110,Benzín,0,Automatická,
Škoda,Kodiaq,929000,2024,Ojeté,68432,147,Nafta,0,Automatická,4x4
Volkswagen,Arteon Shooting Brake,816000,2023,Ojeté,35371,110,Nafta,0,Automatická,
Volvo,XC60,1269000,2024,Ojeté,22193,335,Hybridní,0,Automatická,4x4
Volkswagen,ID.4,615000,2022,Ojeté,48851,150,Elektro,77,Automatická,
Škoda,Octavia,432000,2022,Ojeté,161416,110,Nafta,0,Automatická,
Dodge,Ram,999999,2019,Ojeté,173000,295,Benzín,0,Automatická,
Volkswagen,Sharan,447000,2015,Ojeté,148736,103,Nafta,0,Automatická,
Volkswagen,Arteon Shooting Brake,848000,2022,Ojeté,24428,147,Nafta,0,Automatická,
Škoda,Octavia,472000,2022,Ojeté,85374,110,Benzín,0,Manuální,
Volkswagen,Tiguan,998000,2023,Ojeté,42025,147,Nafta,0,Automatická,4x4
Škoda,Octavia,450000,2022,Ojeté,97832,110,Benzín,0,Manuální,
Škoda,Kodiaq,862000,2023,Ojeté,43205,147,Nafta,0,Automatická,4x4
Volkswagen,Tiguan Allspace,830000,2023,Ojeté,40630,110,Nafta,0,Automatická,4x4
Volkswagen,Tiguan Allspace,696000,2023,Ojeté,163067,147,Nafta,0,Automatická,4x4
Volkswagen,Passat,682000,2021,Ojeté,66478,206,Benzín,0,Automatická,4x4
Volkswagen,Sharan,484000,2017,Ojeté,141085,110,Nafta,0,Automatická,
Škoda,Octavia,538000,2022,Ojeté,60287,110,Benzín,0,Automatická,
Škoda,Octavia,429000,2023,Ojeté,117244,110,Benzín,0,Manuální,
Volkswagen,ID.3,444000,2021,Ojeté,54077,107,Elektro,58,Automatická,
Volkswagen,Tiguan,490000,2017,Ojeté,107591,140,Nafta,0,Automatická,4x4
Škoda,Octavia,594000,2022,Ojeté,136456,147,Nafta,0,Automatická,
Volkswagen,Passat Variant,618000,2024,Ojeté,45186,110,Nafta,0,Automatická,
Volkswagen,Touran,399000,2016,Ojeté,120357,110,Benzín,0,Manuální,
Volkswagen,ID.4,728000,2023,Ojeté,91633,220,Elektro,77,Automatická,4x4
Škoda,Enyaq iV,630000,2020,Ojeté,120400,150,Elektro,82,Automatická,
Volkswagen,Passat,499000,2023,Ojeté,105360,110,Nafta,0,Automatická,
Škoda,Enyaq iV,695000,2021,Ojeté,58810,150,Elektro,82,Automatická,
Škoda,Enyaq iV,539000,2021,Ojeté,85147,132,Elektro,62,Automatická,
Volkswagen,Golf,482000,2023,Ojeté,148276,140,Benzín,0,Automatická,
Cupra,Formentor,715000,2023,Ojeté,46380,140,Benzín,0,Automatická,4x4
Škoda,Octavia,716000,2023,Ojeté,66905,147,Nafta,0,Automatická,
Ford,Tourneo Custom,1169900,2026,Nové,10,110,Nafta,0,Manuální,Pohon předních kol
Volkswagen,Touran,582000,2021,Ojeté,125000,110,Nafta,0,Automatická,
Škoda,Octavia,487000,2023,Ojeté,99006,110,Nafta,0,Manuální,
Škoda,Octavia,553000,2021,Ojeté,72108,150,Hybridní,0,Automatická,
Kia,Sorento,1489980,2026,Nové,0,132,Hybridní,0,Automatická,4x4
Škoda,Octavia,422000,2022,Ojeté,128054,110,Benzín,0,Manuální,
Seat,Leon,517000,2022,Ojeté,34478,110,Benzín,0,Automatická,
Volkswagen,ID.3,390000,2020,Ojeté,120693,150,Elektro,62,Automatická,
Volkswagen,Tiguan Allspace,699000,2023,Ojeté,146770,147,Nafta,0,Automatická,4x4
Kia,Picanto,49800,2006,Ojeté,55000,45,Benzín,0,Manuální,
Mazda,CX-60,1544990,2026,Nové,1,187,Nafta,0,Automatická,4x4
Mazda,6e,1058400,2026,Nové,1,190,Elektro,69,Automatická,Pohon zadních kol
Volkswagen,Taigo,572000,2023,Ojeté,92341,110,Benzín,0,Automatická,
Seat,Alhambra,534000,2021,Ojeté,150000,110,Benzín,0,Manuální,
Fiat,Bravo,94800,2011,Ojeté,80000,66,Benzín,0,Manuální,
Fiat,Panda,109800,2011,Ojeté,150000,51,Benzín,0,Manuální,4x4
Mazda,CX-30,687790,2026,Nové,2,103,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,488000,2021,Ojeté,75000,150,Hybridní,0,Automatická,
Mazda,CX-30,810790,2025,Nové,2,103,Benzín,0,Automatická,Pohon předních kol
Kia,Cee´d,599000,2025,Nové,0,103,Benzín,0,Automatická,Pohon předních kol
Opel,Meriva,54800,2007,Ojeté,100000,66,Benzín,0,Manuální,
Renault,Clio,64800,2008,Ojeté,100000,55,Benzín,0,Manuální,
Škoda,Yeti,239800,2015,Ojeté,175000,110,Nafta,0,Manuální,4x4
Škoda,Octavia,619000,2022,Ojeté,25779,150,Hybridní,0,Automatická,
Škoda,Octavia,482000,2022,Ojeté,118251,150,Hybridní,0,Automatická,
Škoda,Octavia,159800,2014,Ojeté,225000,110,Nafta,0,Manuální,
Mazda,CX-30,799990,2026,Nové,1,103,Benzín,0,Automatická,Pohon předních kol
Volkswagen,Arteon Shooting Brake,593000,2022,Ojeté,99215,160,Hybridní,0,Automatická,
Škoda,Octavia,399000,2022,Ojeté,139304,85,Nafta,0,Manuální,
Volkswagen,ID.4,515000,2022,Ojeté,30000,125,Elektro,52,Automatická,
Škoda,Fabia,69800,2008,Ojeté,150000,63,Benzín,0,Manuální,
Kia,Venga,129800,2011,Ojeté,90000,66,Benzín,0,Manuální,
Volkswagen,Golf,229800,2013,Ojeté,200000,110,Nafta,0,Manuální,4x4
Hyundai,ix20,119800,2012,Ojeté,130000,66,Benzín,0,Manuální,
Volkswagen,Golf Plus,99800,2006,Ojeté,120000,77,Nafta,0,Manuální,
Hyundai,ix20,114800,2011,Ojeté,100000,66,Benzín,0,Manuální,
Mitsubishi,Colt,54800,2006,Ojeté,140000,70,Benzín,0,Manuální,
Volkswagen,Polo,79800,2007,Ojeté,90000,44,Benzín,0,Manuální,
Citroën,Berlingo,144800,2013,Ojeté,155000,72,Benzín,0,Manuální,
BMW,X3,729000,2019,Ojeté,139083,195,Nafta,0,Automatická,4x4
Fiat,Panda,64800,2005,Ojeté,120000,44,Benzín,0,Manuální,4x4
Audi,A4,214800,2011,Ojeté,130000,100,Nafta,0,Manuální,
Volkswagen,Touran,169800,2014,Ojeté,185000,77,Nafta,0,Manuální,
Volkswagen,Caddy,209800,2011,Ojeté,265000,81,Nafta,0,Manuální,4x4
Suzuki,SX4,159800,2010,Ojeté,95000,88,Benzín,0,Manuální,4x4
Mercedes-Benz,Třídy G,3999000,2021,Ojeté,42743,515,Benzín,0,Automatická,4x4
Kia,Rio,144800,2014,Ojeté,75000,51,Benzín,0,Manuální,
Citroën,C2,34800,2004,Ojeté,120000,44,Benzín,0,Manuální,
NIO,ET5,1190000,2024,Ojeté,54749,360,Elektro,100,Automatická,4x4
Ford,Tourneo Courier,529900,2026,Nové,10,92,Benzín,0,Manuální,Pohon předních kol
Dacia,Sandero,119800,2016,Ojeté,120000,54,Benzín,0,Manuální,
Volkswagen,Passat,369800,2018,Ojeté,160000,140,Nafta,0,Manuální,
Volkswagen,Tiguan,175000,2011,Ojeté,150000,118,Benzín,0,Manuální,4x4
Volkswagen,Passat,54800,2003,Ojeté,255000,96,Nafta,0,Manuální,
Seat,Altea,84800,2011,Ojeté,170000,77,Nafta,0,Manuální,
Volkswagen,Golf,109800,2010,Ojeté,185000,66,Nafta,0,Manuální,
Volvo,XC90,629000,2016,Ojeté,192873,177,Nafta,0,Automatická,4x4
Hyundai,ix35,279800,2015,Ojeté,70000,100,Nafta,0,Manuální,4x4
Mazda,2,129800,2014,Ojeté,70000,55,Benzín,0,Manuální,
Ford,C-MAX,89800,2010,Ojeté,145000,74,Benzín,0,Manuální,
Volkswagen,Golf Plus,80000,2010,Ojeté,160000,90,Benzín,0,Manuální,
Ford,C-MAX,94800,2010,Ojeté,130000,74,Benzín,0,Manuální,
Opel,Astra,79800,2013,Ojeté,190000,81,Nafta,0,Manuální,
Mercedes-Benz,Třídy A,729000,2024,Ojeté,17528,110,Nafta,0,Automatická,Pohon předních kol
Hyundai,i20,129800,2014,Ojeté,100000,74,Benzín,0,Manuální,
Hyundai,i30,144800,2014,Ojeté,115000,88,Benzín,0,Manuální,
Hyundai,i20,169800,2017,Ojeté,65000,55,Benzín,0,Manuální,
Fiat,Punto,79800,2009,Ojeté,100000,55,Benzín,0,Manuální,
Volkswagen,Tiguan,149800,2009,Ojeté,215000,103,Nafta,0,Manuální,4x4
Audi,A6,109800,2007,Ojeté,250000,171,Nafta,0,Manuální,4x4
Kia,Stonic,170000,2018,Ojeté,195000,62,Benzín,0,Manuální,
Hyundai,ix35,284800,2014,Ojeté,90000,135,Nafta,0,Manuální,4x4
Peugeot,208,99800,2013,Ojeté,60000,50,Benzín,0,Manuální,
Ford,C-MAX,149800,2011,Ojeté,125000,77,Benzín,0,Manuální,
Ford,Kuga,154800,2011,Ojeté,130000,120,Nafta,0,Manuální,4x4
Hyundai,ix20,99800,2013,Ojeté,130000,80,Nafta,0,Manuální,
Škoda,Octavia,174800,2011,Ojeté,185000,125,Nafta,0,Manuální,
Volvo,XC90,650000,2019,Ojeté,241750,183,Nafta,0,Automatická,4x4
Audi,A4,154800,2008,Ojeté,265000,176,Nafta,0,Manuální,4x4
Volkswagen,Golf Plus,159800,2009,Ojeté,135000,81,Nafta,0,Manuální,
Fiat,Punto,74800,2011,Ojeté,95000,51,Benzín,0,Manuální,
Opel,Astra,44800,2010,Ojeté,200000,66,Benzín,0,Manuální,
Škoda,Yeti,164800,2011,Ojeté,175000,103,Nafta,0,Manuální,4x4
Seat,Ibiza,119800,2012,Ojeté,65000,51,Benzín,0,Manuální,
Škoda,Yeti,169800,2011,Ojeté,164000,103,Nafta,0,Manuální,4x4
Volkswagen,Golf,94800,2006,Ojeté,45000,59,Benzín,0,Manuální,
Audi,SQ5,1629000,2022,Ojeté,68700,251,Nafta,0,Automatická,4x4
Škoda,Fabia,114800,2014,Ojeté,105000,44,Benzín,0,Manuální,
Renault,Mégane,109800,2009,Ojeté,95000,81,Nafta,0,Manuální,
Opel,Mokka,189800,2013,Ojeté,115000,96,Nafta,0,Manuální,4x4
Mazda,2,119800,2012,Ojeté,100000,55,Benzín,0,Manuální,
Opel,Meriva,54800,2010,Ojeté,145000,66,Benzín,0,Manuální,
Mercedes-Benz,Třídy E,989000,2023,Ojeté,44170,225,Hybridní,0,Automatická,4x4
Volkswagen,Golf Sportsvan,329000,2015,Ojeté,87695,110,Nafta,0,Automatická,Pohon předních kol
BMW,Řada 3,899000,2019,Ojeté,98411,275,Benzín,0,Automatická,4x4
Ford,Tourneo Custom,1646890,2026,Nové,90,125,Nafta,0,Automatická,Pohon předních kol
Land Rover,Discovery,2639000,2026,Nové,0,257,Nafta,0,Automatická,4x4
BMW,Řada 1,385000,2013,Ojeté,166216,235,Benzín,0,Automatická,4x4
Kia,Cee´d,370000,2019,Ojeté,52000,103,Benzín,0,Manuální,Pohon předních kol
Mercedes-Benz,Třídy G,1549000,2014,Ojeté,102724,400,Benzín,0,Automatická,4x4
Mazda,3,469000,2022,Ojeté,43250,110,Benzín,0,Manuální,Pohon předních kol
